experiment_id,context_setting,sample_id,official_task_name,task_key,prompt_hash,context_length_tokens,method_name,method_family,compression_ratio,retained_budget,selection_rule,full_correct,compressed_correct,full_score,compressed_score,score_drop,extracted_answer_full,extracted_answer_compressed,reference_answer,evidence_presence_label,cue_integrity_label,long_range_retrieval_label,exact_token_fidelity_label,answer_format_alignment_label,evidence_presence_score,cue_integrity_score,long_range_retrieval_score,exact_token_fidelity_score,answer_format_alignment_score,logit_stability_demand_score,attention_accessibility_demand_score,logit_component_delta_NLL_score,logit_component_KL_score,logit_component_TopK_score,model_revision,retention_metric_schema,retention_semantics,failure_signature,ERR_slot_value,ERR_slot_status,ECov_slot_value,ECov_slot_status,delta_NLL_value,delta_NLL_status,delta_NLL_reason,KL_value,KL_status,KL_reason,TopK_value,TopK_status,TopK_reason,EAR_value,EAR_status,EAR_reason
phase2_ruler_qwen3_8b_kvpress053_no_system,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,AdaKVPress,adaptive_headwise_pruning,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.9,0.09999999999999998,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,low_slot_coverage,0.2658420138888889,available,0.2673611111111111,available,0.0,available,,0.0,available,,1.0,available,,,unavailable,N/A: no valid diagnostic trace for this method/run
phase2_ruler_qwen3_8b_kvpress053_no_system,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,ChunkKVPress_Knorm,chunk_semantic_preservation,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.2,0.8,representation,therapeutic,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,low_slot_coverage,0.3836805555555556,available,0.38333333333333336,available,0.0,available,,0.0,available,,1.0,available,,,unavailable,N/A: no valid diagnostic trace for this method/run
phase2_ruler_qwen3_8b_kvpress053_no_system,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,ChunkKVPress_Knorm,chunk_semantic_preservation,0.5,0.5,full_correct_true_compressed_correct_false,True,False,1.0,0.8,0.19999999999999996,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,partial_slot_coverage,0.5347222222222222,available,0.5472222222222223,available,0.0,available,,0.0,available,,1.0,available,,,unavailable,N/A: no valid diagnostic trace for this method/run
phase2_ruler_qwen3_8b_kvpress053_no_system,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,ChunkKVPress_Knorm,chunk_semantic_preservation,0.25,0.75,full_correct_true_compressed_correct_false,True,False,1.0,0.9,0.09999999999999998,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,partial_slot_coverage,0.6145833333333334,available,0.6194444444444445,available,0.0,available,,0.0,available,,1.0,available,,,unavailable,N/A: no valid diagnostic trace for this method/run
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,KeyDiffPress,key_space_signal_pruning,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.8,0.19999999999999996,representation,therapeutic,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,1,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,partial_slot_coverage,0.7174479166666666,available,0.7395833333333334,available,0.0,available,,0.0,available,,1.0,available,,0.2745368590328081,available,
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,KeyDiffPress,key_space_signal_pruning,0.25,0.75,full_correct_true_compressed_correct_false,True,False,1.0,0.9,0.09999999999999998,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,1,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,conflicting_retained_signals,0.9685329861111112,available,0.9739583333333334,available,0.0,available,,0.0,available,,1.0,available,,0.2380240079488361,available,
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,QuantizedCache,hf_kv_cache_quantization,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.0,1.0,representation,1. **snob** 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 11. 1. 1. 1. 11. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.  1. 1 10.  1. 1. 1. 1. 1.  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 2. 1. 1. 2. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,1,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,all_positions_structurally_preserved,conflicting_retained_signals,1.0,available,1.0,available,0.0,available,,0.0,available,,1.0,available,,0.28249019706012046,available,
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,SnapKVPress,attention_observation_pruning,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.6,0.4,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,2,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,low_slot_coverage,0.2732204861111111,available,0.26631944444444444,available,0.0,available,,0.0,available,,1.0,available,,0.03925502557624777,available,
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,SnapKVPress,attention_observation_pruning,0.5,0.5,full_correct_true_compressed_correct_false,True,False,1.0,0.9,0.09999999999999998,representation,representation,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,2,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,partial_slot_coverage,0.5666232638888888,available,0.5732638888888889,available,0.0,available,,0.0,available,,1.0,available,,0.060808184514999704,available,
ruler8k_kvdench_qwen3_8b,8k,cwe_000000,cwe,ruler_common_words_extraction,887deedfc8d5242d,8070,StreamingLLMPress,recency_attention_sink_pruning,0.75,0.25,full_correct_true_compressed_correct_false,True,False,1.0,0.8,0.19999999999999996,representation,therapeutic,"['representation', 'therapeutic', 'attempt', 'academics', 'waterbed', 'father-in-law', 'proof-reader', 'snobbish', 'crib', 'cardboard']",3,3,3,3,3,3,3,3,3,3,0.0,3,0,0,0,b968826d9c46dd6066d109eabc6255188de91218,kvbench.slot_ecov.v1,per_layer_per_kv_head_original_position_mapping,low_slot_coverage,0.0,available,0.0,available,0.0,available,,0.0,available,,1.0,available,,0.0,available,
